gene,before_wash,plate,color,position,ratio,source
SPAPB17E12.12c,0.5486725663716815,1,red,H6_,0.02440956221198153,protein-coding
SPAPB17E12.14c,0.5663716814159292,1,red,H7_,0.02364676339285711,protein-coding
SPAPB18E9.01,0.1238938053097345,1,red,H8_,0.10809948979591823,protein-coding
SPAPB18E9.04c,0.5619469026548672,1,red,H9_,0.015888638920134975,protein-coding
SPAPB1E7.07,0.5088495575221239,1,red,H10_,0.01754658385093167,protein-coding
SPAPB21F2.03,0.5442477876106195,1,red,H11_,0.008202671312427379,protein-coding
SPAPB2B4.02,0.47345132743362833,1,red,H12_,0.018858477970627494,protein-coding
SPAPB2B4.06,0.6061946902654867,1,blue,A1_,0.07364442127215849,protein-coding
empty,0.017699115044247787,1,blue,A2_,1.0089285714285718,protein-coding
SPAPB8E5.02c,0.5486725663716814,1,blue,A3_,0.06509216589861751,protein-coding
SPAPJ691.03,0.46017699115044247,1,blue,A4_,0.05820741758241759,protein-coding
SPBC106.05c,0.4292035398230089,1,blue,A5_,0.06240795287187039,protein-coding
SPBC1105.09,0.5442477876106194,1,blue,A6_,0.04101335656213709,protein-coding
SPBC11C11.07,0.02654867256637168,1,blue,A7_,0.8407738095238102,protein-coding
SPBC1348.01,0.5707964601769911,1,blue,A8_,0.0391057585825028,protein-coding
SPBC1348.14c,0.5088495575221238,1,blue,A9_,0.07018633540372672,protein-coding
SPBC14C8.04,0.5663716814159292,1,blue,A10_,0.04729352678571429,protein-coding
SPBC1539.06,0.017699115044247787,1,blue,A11_,1.0089285714285718,protein-coding
SPBC1539.08,0.04867256637168142,1,blue,A12_,0.366883116883117,protein-coding
SPBC1539.10,0.5265486725663716,1,blue,B1_,0.042391956782713125,protein-coding
SPBC15D4.02,0.013274336283185834,1,blue,B2_,1.0089285714285725,protein-coding
SPBC15D4.06,0.5,1,blue,B3_,0.017857142857142877,protein-coding
SPBC1604.09c,0.4026548672566372,1,blue,B4_,0.04434850863422293,protein-coding
SPBC1604.18c,0.4646017699115044,1,blue,B5_,0.028826530612244914,protein-coding
