,strain,ratio,before_wash,after_wash,sem,filtered_all_ratio_vals,n
33,R36,0.2269743548345667,0.3050999203564185,0.06720372047067438,0.09082302705379855,"[0.07213196281309328, 0.7483961816223053, 0.5444709478793592, 0.6177637366122516, 0.041706399747393125, 0.040110117446942734, 0.04234837693620961, 0.05972557879814053, 0.04247614378057019, 0.06061410270940146]",10
34,R37,0.019438772660494624,0.40985725602451606,0.007992881421686575,0.004226592495942442,"[0.033258219551294585, 0.042300118328609006, 0.007821684251917755, 0.015445841969764451, 0.021792810149973176, 0.009945015040273982, 0.019003784744935946, 0.0106663156368039, 0.03379932944743856, 0.00035460748393488896]",10
35,R38,0.01604858720746439,0.3855241488744456,0.006309470459096492,0.002312738325853654,"[0.0236931539624908, 0.02487803041823854, 0.010170233756647936, 0.016209180829383066, 0.02392709610630214, 0.00923731161517548, 0.015871742798966366, 0.011509947189207115, 0.021327827281116908, 0.003661348117115521]",10
36,R39,0.2108466612156675,0.3625372363931322,0.07528554801665996,0.04486006227577846,"[0.32211920016673595, 0.32525361329536456, 0.34972795718641053, 0.4002701591172254, 0.10909255833357412, 0.011046998401256938, 0.061027817370186595, 0.16350424165369692, 0.07368960722290646, 0.29273445940931775]",10
37,R4,0.9573842873815165,0.21974829763020903,0.2165731776504193,0.034669746575042446,"[0.9702965649386196, 0.9768831140565993, 1.0, 1.0, 1.0, 0.9875828439665488, 0.6816960634718794, 1.0, 1.0]",9
38,R40,0.06050620054534408,0.4351475523517858,0.02569858266121473,0.011557362271843145,"[0.04325477852704866, 0.03538592367726472, 0.020189375558653872, 0.025030120336186488, 0.09795902107365648, 0.011940188452679157, 0.09250495066912849, 0.10368479547571421, 0.09447689486222476, 0.08063595682088401]",10
39,R41,0.005532531348059724,0.4188204965082697,0.0023639895379779494,0.0012797077538684442,"[0.010512032361595163, 0.010158969609539019, 0.00023635443422646236, 0.00834338919022794, 0.006353534590179861, 0.0, 0.00829826961872918, 0.00539809117826162, 0.005618655749480121, 0.000406016748357867]",10
40,R42,0.06142829539871665,0.3770627933628272,0.025376968000962157,0.01990002182718678,"[0.0523167378145299, 0.13170396381564164, 0.04734279456723811, 0.033643269622342334, 0.048375878937865185, 0.00808025364723182, 0.027164729142391295, 0.03937398327577836, 0.014085697830521018, 0.2121956453336268]",10
41,R43,0.052717294996099076,0.43609806746130636,0.022998849902419294,0.00568253752693421,"[0.04138249956340911, 0.06377184748801756, 0.04533976544063685, 0.06218936624193505, 0.07266520875080196, 0.0315810647919319, 0.03708029643766514, 0.08730523250937139, 0.047067287827760686, 0.038790380909461054]",10
42,R44,0.03418345592154774,0.45417446774148534,0.015537146005804508,0.005616899469071188,"[0.05117583698277706, 0.049024591892468286, 0.01583518716042, 0.013212845314449252, 0.03297368394236111, 0.016052314910702824, 0.021153822051265408, 0.029074845044948998, 0.05958628457820828, 0.05374514733787623]",10
